language,repo_count
C#,3601551
JavaScript,696560
Python,622141
TypeScript,413519
Java,200563
PHP,64633
C++,42556
Shell,38036
Go,34798
Visual Basic,31873
Dart,30795
Kotlin,24088
Rust,21744
Lua,16036
Swift,13244
R,8381
Ruby,6840
PowerShell,4594
MATLAB,3626
Assembly,1957
Elixir,987
Groovy,811
Scala,776
Julia,727
Haskell,654
Objective-C,515
Perl,385
Fortran,311
COBOL,131
SQL,55
